url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,1,Poor Little Fool,Ricky Nelson,Poor Little FoolRicky Nelson,1,,1,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,2,Patricia,Perez Prado And His Orchestra,PatriciaPerez Prado And His Orchestra,1,,2,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,3,Splish Splash,Bobby Darin,Splish SplashBobby Darin,1,,3,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,6,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,Rebel-'rouserDuane Eddy His Twangy Guitar And The Rebels,1,,6,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,16,One Summer Night,The Danleers,One Summer NightThe Danleers,1,,16,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,20,Do You Want To Dance,Bobby Freeman,Do You Want To DanceBobby Freeman,1,,20,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,22,A Certain Smile,Johnny Mathis,A Certain SmileJohnny Mathis,1,,22,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,26,Born Too Late,Poni-Tails,Born Too LatePoni-Tails,1,,26,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,28,Secretly,Jimmie Rodgers,SecretlyJimmie Rodgers,1,,28,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,30,Angel Baby,Dean Martin,Angel BabyDean Martin,1,,30,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,31,Chantilly Lace,Big Bopper,Chantilly LaceBig Bopper,1,,31,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,32,Blue Blue Day,Don Gibson,Blue Blue DayDon Gibson,1,,32,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,34,Don't Ask Me Why,Elvis Presley With The Jordanaires,Don't Ask Me WhyElvis Presley With The Jordanaires,1,,34,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,35,Rock-in Robin,Bobby Day,Rock-in RobinBobby Day,1,,35,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,38,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,Somebody Touched MeBuddy Knox with the Rhythm Orchids,1,,38,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,39,That's How Much I Love You,Pat Boone,That's How Much I Love YouPat Boone,1,,39,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,40,Crazy Eyes For You,Bobby Hamilton,Crazy Eyes For YouBobby Hamilton,1,,40,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,43,Come What May,Clyde McPhatter,Come What MayClyde McPhatter,1,,43,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,46,(It's Been A Long Time) Pretty Baby,Gino & Gina,(It's Been A Long Time) Pretty BabyGino & Gina,1,,46,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,48,Return To Me,Dean Martin,Return To MeDean Martin,1,,48,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,49,All I Have To Do Is Dream,The Everly Brothers,All I Have To Do Is DreamThe Everly Brothers,1,,49,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,50,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,By The Light Of The Silvery MoonJimmy Bowen with the Rhythm Orchids,1,,50,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,50,"Baubles, Bangles And Beads",The Kirby Stone Four,"Baubles, Bangles And BeadsThe Kirby Stone Four",1,,50,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,53,Come Closer To Me (Acercate Mas),Nat King Cole,Come Closer To Me (Acercate Mas)Nat King Cole,1,,53,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,4,Hard Headed Woman,Elvis Presley With The Jordanaires,Hard Headed WomanElvis Presley With The Jordanaires,1,,4,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,8,My True Love,Jack Scott,My True LoveJack Scott,1,,8,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,10,Fever,Peggy Lee,FeverPeggy Lee,1,,10,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,60,Over And Over,Bobby Day,Over And OverBobby Day,1,,60,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,63,Padre,Toni Arden,PadreToni Arden,1,,63,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,66,Delicious!,Jim Backus & Friend,Delicious!Jim Backus & Friend,1,,66,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,67,Big Man,The Four Preps,Big ManThe Four Preps,1,,67,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,69,Op,The Honeycones,OpThe Honeycones,1,,69,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,70,Don't Go Home,The Playmates,Don't Go HomeThe Playmates,1,,70,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,72,Stupid Cupid,Connie Francis,Stupid CupidConnie Francis,1,,72,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,11,Ginger Bread,Frankie Avalon,Ginger BreadFrankie Avalon,1,,11,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,12,Just A Dream,Jimmy Clanton And His Rockets,Just A DreamJimmy Clanton And His Rockets,1,,12,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,13,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up)Patti Page,1,,13,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,14,If Dreams Came True,Pat Boone,If Dreams Came TruePat Boone,1,,14,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,15,For Your Precious Love,Jerry Butler and The Impressions,For Your Precious LoveJerry Butler and The Impressions,1,,15,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,17,Endless Sleep,Jody Reynolds,Endless SleepJody Reynolds,1,,17,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,18,Little Star,The Elegants,Little StarThe Elegants,1,,18,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,19,Everybody Loves A Lover,Doris Day,Everybody Loves A LoverDoris Day,1,,19,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,21,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,Guess Things Happen That WayJohnny Cash And The Tennessee Two,1,,21,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,29,Enchanted Island,The Four Lads,Enchanted IslandThe Four Lads,1,,29,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,36,"No Chemise, Please",Gerry Granahan,"No Chemise, PleaseGerry Granahan",1,,36,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,37,Moon Talk,Perry Como,Moon TalkPerry Como,1,,37,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,41,Early In The Morning,Buddy Holly,Early In The MorningBuddy Holly,1,,41,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,44,Jennie Lee,Jan & Arnie,Jennie LeeJan & Arnie,1,,44,1
